crypto_list
BTCUSDT
ETHUSDT
DOGEUSDT
ETCUSDT
XRPUSDT
BNBUSDT
EOSUSDT
BCHUSDT
LTCUSDT
ADAUSDT
LINKUSDT
TRXUSDT
QTUMUSDT
MATICUSDT
VETUSDT
DOTUSDT
THETAUSDT
FTMUSDT
MKRUSDT
SOLUSDT
RLCUSDT
STORJUSDT
1INCHUSDT
UNIUSDT
NEOUSDT
SXPUSDT
AVAXUSDT
FILUSDT
XLMUSDT
ATOMUSDT
BTTUSDT
REEFUSDT
ZENUSDT
ONTUSDT
SUSHIUSDT
CHZUSDT
AAVEUSDT
XTZUSDT
TRBUSDT
ALICEUSDT
OMGUSDT
ZECUSDT
XMRUSDT
CRVUSDT
SRMUSDT
DASHUSDT
ZILUSDT
YFIUSDT
COMPUSDT
LUNAUSDT
HOTUSDT
ALPHAUSDT
WAVESUSDT
ENJUSDT
IOSTUSDT
DENTUSDT
ICXUSDT
RUNEUSDT
KSMUSDT
IOTAUSDT
GRTUSDT
CTKUSDT
BATUSDT
XEMUSDT
ALGOUSDT
KAVAUSDT
BTCBUSD
OCEANUSDT
RENUSDT
BANDUSDT
MTLUSDT
COTIUSDT
LINAUSDT
CVCUSDT
AXSUSDT
KNCUSDT
BZRXUSDT
ZRXUSDT
CHRUSDT
MANAUSDT
BALUSDT
SKLUSDT
RSRUSDT
SNXUSDT
EGLDUSDT
SANDUSDT
ANKRUSDT
LITUSDT
DODOUSDT
AKROUSDT
TOMOUSDT
SFPUSDT
SCUSDT
BELUSDT
FLMUSDT
RVNUSDT
NEARUSDT
ONEUSDT
YFIIUSDT
BTSUSDT
OGNUSDT
HBARUSDT
NKNUSDT
LRCUSDT
HNTUSDT
BLZUSDT
DGBUSDT
STMXUSDT
UNFIUSDT
CELRUSDT
DEFIUSDT
